,Position,Track Name,Artist,Streams,date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
34,35,Something Just Like This,The Chainsmokers,21661,2017-08-27,0.635,0.16399999999999998,103.01899999999999,0.0317,0.0498,1.4400000000000001e-05,4,0.617,11,247160,-6.769,0.446,0
35,36,จังหวะจะรัก - From “Heartbeat” Original Soundtrack,Violette Wautier,20767,2017-08-27,0.687,0.087,89.931,0.0278,0.138,0.000177,4,0.546,8,220000,-5.129,0.213,1
36,37,XO Tour Llif3,Lil Uzi Vert,20290,2017-08-27,0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.3660000000000005,0.401,0
37,38,I Like Me Better,Lauv,20179,2017-08-27,0.505,0.10400000000000001,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1
38,39,Galway Girl,Ed Sheeran,19757,2017-08-27,0.8759999999999999,0.327,99.943,0.1,0.0735,0.0,4,0.624,9,170827,-3.3739999999999997,0.7809999999999999,1
39,40,That's What I Like,Bruno Mars,19383,2017-08-27,0.56,0.0944,134.066,0.0406,0.013000000000000001,0.0,4,0.853,1,206693,-4.961,0.86,1
40,41,Fetish (feat. Gucci Mane),Selena Gomez,19271,2017-08-27,0.61,0.0641,123.038,0.0574,0.0204,4.45e-06,4,0.708,2,186113,-4.522,0.305,1
41,42,Glorious (feat. Skylar Grey),Macklemore,18487,2017-08-27,0.794,0.11199999999999999,139.994,0.0522,0.0323,2.59e-05,4,0.731,0,220454,-5.126,0.35600000000000004,0
42,43,Slow Hands,Niall Horan,18317,2017-08-27,0.426,0.0546,85.90799999999999,0.0509,0.0142,0.0,4,0.728,0,188174,-6.69,0.8440000000000001,1
43,44,More Than You Know,Axwell /\ Ingrosso,18147,2017-08-27,0.743,0.257,123.074,0.0355,0.034,0.0,4,0.644,5,203000,-5.002,0.544,0
44,45,โทษที่เอาแต่ใจ (sorry),Peck Palitchoke,17524,2017-08-27,0.5329999999999999,0.0894,183.945,0.38299999999999995,0.743,0.0,4,0.742,10,267910,-7.761,0.754,1
45,46,Symphony (feat. Zara Larsson),Clean Bandit,17274,2017-08-27,0.629,0.138,122.863,0.0563,0.259,1.6e-05,4,0.7070000000000001,0,212459,-4.581,0.457,0
46,47,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,17258,2017-08-27,0.868,0.10400000000000001,121.03,0.0291,0.15,0.132,4,0.703,7,193613,-4.6610000000000005,0.733,0
47,48,Your Song,Rita Ora,17085,2017-08-27,0.624,0.0513,117.959,0.0488,0.158,0.0,4,0.855,1,180757,-4.093,0.9620000000000001,1
48,49,มือลั่น,Jazz Spooknickpapiyongkookkook,16782,2017-08-27,0.885,0.0859,129.93,0.0305,0.445,0.0,4,0.647,11,192106,-2.3930000000000002,0.594,0
49,50,Photograph,Ed Sheeran,16315,2017-08-27,0.379,0.0986,107.98899999999999,0.0476,0.607,0.00046399999999999995,4,0.614,4,258987,-10.48,0.201,1
50,51,HUMBLE.,Kendrick Lamar,16218,2017-08-27,0.621,0.0958,150.011,0.102,0.00028199999999999997,5.39e-05,4,0.9079999999999999,1,177000,-6.638,0.42100000000000004,0
51,52,Super Far,LANY,16064,2017-08-27,0.45799999999999996,0.249,96.01100000000001,0.14400000000000002,0.105,0.0,4,0.754,8,203650,-6.852,0.495,1
52,53,Believer,Imagine Dragons,15584,2017-08-27,0.787,0.14,124.98200000000001,0.10800000000000001,0.0524,0.0,4,0.779,10,204347,-4.305,0.708,0
53,54,Bank Account,21 Savage,15524,2017-08-27,0.34600000000000003,0.0871,75.016,0.35100000000000003,0.0151,7.04e-06,4,0.884,8,220307,-8.228,0.376,0
54,55,1-800-273-8255,Logic,15395,2017-08-27,0.574,0.19,100.021,0.0479,0.57,0.0,4,0.62,5,250173,-7.787999999999999,0.35200000000000004,0
55,56,Spring Day,BTS,15339,2017-08-27,0.846,0.13,106.992,0.0354,0.0063,1.68e-06,4,0.539,8,274097,-3.1919999999999997,0.46,1
56,57,Blood Sweat & Tears,BTS,15140,2017-08-27,0.885,0.35700000000000004,92.959,0.106,0.0244,0.0,4,0.583,0,217052,-3.571,0.601,0
57,58,Bad Luck,Lipta,14914,2017-08-27,0.498,0.10800000000000001,78.975,0.0962,0.784,0.0,4,0.6990000000000001,7,227836,-9.329,0.47600000000000003,1
58,59,Rich Love (with Seeb),OneRepublic,14843,2017-08-27,0.868,0.365,104.988,0.295,0.183,0.0,4,0.593,1,201257,-3.573,0.496,0
59,60,เป็นทุกอย่าง,Room 39,14738,2017-08-27,0.774,0.0805,186.03099999999998,0.0678,0.389,0.0,4,0.562,2,262437,-4.846,0.731,1
60,61,นวด,Palmy,14572,2017-08-27,0.8290000000000001,0.158,86.52,0.0516,0.0006309999999999999,7.290000000000001e-05,4,0.48100000000000004,1,241842,-3.428,0.578,1
61,62,Blank Space,Taylor Swift,14460,2017-08-27,0.703,0.0913,95.99700000000001,0.054000000000000006,0.10300000000000001,0.0,4,0.76,5,231827,-5.412000000000001,0.57,1
62,63,ปลายทางที่ว่างเปล่า - เพลงประกอบ Club Friday Celeb's Stories,Aof Pongsak,14292,2017-08-27,0.5479999999999999,0.13,129.959,0.0321,0.748,0.0,4,0.5760000000000001,0,274154,-6.006,0.34700000000000003,1
63,64,Congratulations,Post Malone,13952,2017-08-27,0.804,0.253,123.146,0.0363,0.215,0.0,4,0.63,6,220293,-4.183,0.49200000000000005,1
64,65,Energetic,Wanna One,13884,2017-08-27,0.8859999999999999,0.11199999999999999,125.046,0.0461,0.057999999999999996,0.0,4,0.7140000000000001,0,189356,-3.076,0.752,1
65,66,Playgirls,Thaitanium,13733,2017-08-27,0.6409999999999999,0.0949,101.03399999999999,0.128,0.281,0.0,4,0.845,6,260732,-4.9,0.561,1
66,67,Bodak Yellow,Cardi B,13590,2017-08-27,0.723,0.34600000000000003,125.022,0.109,0.0672,0.0,4,0.929,11,223962,-5.792000000000001,0.45799999999999996,0
67,68,All Night,Girls' Generation,13391,2017-08-27,0.807,0.228,129.984,0.0517,0.0308,2.9299999999999997e-05,4,0.777,9,222894,-4.101,0.732,0
68,69,รู้สึก (Diary),Scrubb,13385,2017-08-27,0.7070000000000001,0.23,94.02600000000001,0.0279,0.54,0.0017699999999999999,4,0.8059999999999999,4,220213,-6.07,0.665,0
69,70,Despacito (Featuring Daddy Yankee),Luis Fonsi,13364,2017-08-27,0.7859999999999999,0.11199999999999999,177.833,0.17,0.209,0.0,4,0.66,2,228200,-4.757,0.846,1
70,71,Burn It Up,Wanna One,13078,2017-08-27,0.8490000000000001,0.39799999999999996,127.92299999999999,0.0563,0.0461,0.0,4,0.642,11,214942,-3.266,0.601,0
71,72,เวลาของเรา,TOR Saksit,12961,2017-08-27,0.723,0.145,94.12,0.0691,0.406,0.0,4,0.6,10,250050,-4.132,0.7170000000000001,1
72,73,เฉยเมย,YOUNGOHM,12869,2017-08-27,0.502,0.12,94.098,0.0654,0.736,0.0,4,0.6809999999999999,6,258959,-8.812000000000001,0.619,0
73,74,ถ้าฉันได้กลับไป,New & Jiew,12847,2017-08-27,0.55,0.248,139.98,0.0279,0.155,0.0,4,0.586,9,252627,-8.469,0.26,1
74,75,อย่างที่ฉันเป็น,Room 39,12794,2017-08-27,0.595,0.21,89.538,0.0829,0.49,0.0,4,0.612,7,173446,-9.58,0.7070000000000001,1
75,76,Tell Me You Love Me,Demi Lovato,12650,2017-08-27,0.585,0.14300000000000002,72.635,0.0741,0.0258,0.0,4,0.419,6,236987,-5.435,0.256,1
76,77,แพ้แล้วพาล - เพลงประกอบ Club Friday The Series To Be Continued ตอน รักลองใจ,Ploychompoo,12631,2017-08-27,0.513,0.136,129.732,0.0346,0.6990000000000001,0.0,4,0.608,4,270923,-4.198,0.285,1
77,78,PLAYING WITH FIRE - KR Ver.,BLACKPINK,12597,2017-08-27,0.758,0.18600000000000003,97.052,0.10800000000000001,0.044000000000000004,0.0,4,0.7040000000000001,4,197667,-4.393,0.6629999999999999,0
78,79,Shake It Off,Taylor Swift,12511,2017-08-27,0.8,0.33399999999999996,160.078,0.165,0.0647,0.0,4,0.647,7,219200,-5.3839999999999995,0.9420000000000001,1
79,80,เธอทำให้ได้รู้,Potato,12507,2017-08-27,0.7170000000000001,0.121,173.8,0.0318,0.213,0.0,4,0.40700000000000003,11,284138,-5.54,0.396,1
80,81,Side To Side,Ariana Grande,12461,2017-08-27,0.738,0.292,159.145,0.247,0.0408,0.0,4,0.648,6,226160,-5.882999999999999,0.603,0
81,82,빨간 맛 Red Flavor,Red Velvet,12450,2017-08-27,0.917,0.0839,125.042,0.18899999999999997,0.0409,0.0,4,0.7090000000000001,9,191139,-3.315,0.515,1
82,83,Closer,The Chainsmokers,12262,2017-08-27,0.524,0.111,95.01,0.0338,0.414,0.0,4,0.748,8,244960,-5.599,0.6609999999999999,1
83,84,전야 前夜 The Eve,EXO,12210,2017-08-27,0.7020000000000001,0.293,135.10399999999998,0.0334,0.0223,0.0,4,0.636,0,176026,-5.352,0.516,0
84,85,What About Us,P!nk,12060,2017-08-27,0.594,0.0873,113.84299999999999,0.0565,0.0254,3.03e-06,4,0.386,1,271520,-6.186,0.187,1
85,86,ทำดีไม่เคยจำ,Cocktail,11873,2017-08-27,0.8,0.133,163.86900000000003,0.12,0.0833,6.6e-06,4,0.264,7,285122,-5.944,0.409,1
86,87,WHISTLE - KR Ver.,BLACKPINK,11837,2017-08-27,0.722,0.0935,102.97200000000001,0.0945,0.00579,0.0,4,0.8270000000000001,6,212600,-4.803999999999999,0.589,0
87,88,Love Yourself,Justin Bieber,11681,2017-08-27,0.37799999999999995,0.28,100.41799999999999,0.43799999999999994,0.835,0.0,4,0.609,4,233720,-9.828,0.515,1
88,89,หน้าหนาวที่แล้ว,The Toys,11496,2017-08-27,0.42200000000000004,0.0987,119.96600000000001,0.0416,0.258,0.0,4,0.758,1,272000,-8.712,0.28,0
89,90,BUTTERFLY EFFECT,Travis Scott,11477,2017-08-27,0.598,0.11199999999999999,140.987,0.0539,0.0714,0.0,4,0.763,11,190678,-6.865,0.182,1
90,91,รักฉันเพราะอะไร,Blue Shade,11396,2017-08-27,0.669,0.207,156.11,0.0393,0.289,7.75e-06,4,0.47600000000000003,10,263579,-6.216,0.375,1
91,92,No Promises (feat. Demi Lovato),Cheat Codes,11260,2017-08-27,0.667,0.106,112.956,0.134,0.0575,0.0,4,0.741,10,223504,-5.445,0.595,1
92,93,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,11013,2017-08-27,0.8170000000000001,0.187,98.064,0.109,0.075,0.0,4,0.696,1,216409,-3.862,0.782,1
93,94,Restart,Room 39,10896,2017-08-27,0.478,0.0892,78.015,0.048,0.5529999999999999,0.0,4,0.711,4,274615,-8.943,0.424,0
94,95,Tired,Alan Walker,10769,2017-08-27,0.8759999999999999,0.147,123.994,0.059000000000000004,0.0428,0.0,4,0.69,2,192112,-4.159,0.493,1
95,96,Not Today,BTS,10688,2017-08-27,0.946,0.9229999999999999,110.024,0.126,0.0018100000000000002,1.04e-06,4,0.594,8,231860,-3.408,0.665,1
96,97,Versace on the Floor,Bruno Mars,10558,2017-08-27,0.574,0.083,174.15200000000002,0.0454,0.196,0.0,4,0.578,2,261240,-6.209,0.301,1
97,98,Don't Wanna Cry,SEVENTEEN,10239,2017-08-27,0.6829999999999999,0.16,100.005,0.0325,0.16399999999999998,1.53e-06,4,0.7809999999999999,0,203427,-4.258,0.722,1
98,99,BOOMBAYAH - KR Ver.,BLACKPINK,10149,2017-08-27,0.85,0.41200000000000003,124.882,0.0694,0.00264,0.0,4,0.657,5,241467,-3.157,0.375,0
99,100,พบเธอก่อน,Mint Pattarasaya,9958,2017-08-27,0.595,0.245,169.737,0.0318,0.0721,2.0600000000000003e-05,4,0.478,7,232606,-7.926,0.365,1
100,101,I Knew You Were Trouble.,Taylor Swift,9952,2017-08-27,0.469,0.0398,77.01899999999999,0.0363,0.00454,2.25e-06,4,0.622,3,217973,-6.797999999999999,0.679,0
101,102,Holiday,Girls' Generation,9927,2017-08-27,0.867,0.275,120.022,0.0672,0.0406,0.0,4,0.7090000000000001,1,199563,-3.258,0.877,1
102,103,Stay With Me,CHANYEOL,9823,2017-08-27,0.526,0.126,78.643,0.0484,0.428,0.0,5,0.314,0,192441,-4.686,0.195,0
103,104,Down,Fifth Harmony,9706,2017-08-27,0.512,0.128,196.12099999999998,0.133,0.0162,7.04e-05,4,0.53,8,165200,-7.093999999999999,0.401,1
104,105,ปากแข็ง (Just in my mind) - เพลงประกอบซีรีส์ Slam Dance ทุ่มฝันสนั่นฟลอร์,Mild,9666,2017-08-27,0.619,0.0455,71.968,0.0401,0.0276,0.0,4,0.589,6,256000,-8.116,0.5920000000000001,1
105,106,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,9612,2017-08-27,0.451,0.325,117.973,0.0585,0.0631,1.3000000000000001e-05,4,0.735,0,245200,-8.374,0.0862,1
106,107,Wildest Dreams,Taylor Swift,9609,2017-08-27,0.664,0.106,140.06,0.0741,0.0709,0.0056,4,0.5529999999999999,8,220440,-7.417000000000001,0.467,1
107,108,Style,Taylor Swift,9604,2017-08-27,0.7909999999999999,0.11800000000000001,94.93299999999999,0.0402,0.00245,0.0025800000000000003,4,0.588,7,231000,-5.595,0.48700000000000004,1
108,109,환생 Rebirth,Red Velvet,9600,2017-08-27,0.569,0.0674,86.98299999999999,0.0503,0.31,0.000101,4,0.769,6,213280,-4.678999999999999,0.755,0
109,110,Rain,The Script,9496,2017-08-27,0.5870000000000001,0.368,93.00200000000001,0.11,0.22899999999999998,0.0,4,0.6809999999999999,6,209346,-7.638,0.64,1
110,111,We Young,NCT DREAM,9464,2017-08-27,0.857,0.0684,123.041,0.0414,0.0579,0.0,4,0.7120000000000001,0,224467,-4.194,0.33799999999999997,1
111,112,โอ้เธอ,Songkarn Rangsant,9448,2017-08-27,0.601,0.14400000000000002,140.012,0.0307,0.28800000000000003,0.0,4,0.541,7,284768,-5.984,0.395,1
112,113,ยังคิดถึง...(Same),Marc Tatchapon,9429,2017-08-27,0.41,0.11900000000000001,135.005,0.0316,0.563,0.0,4,0.685,7,201872,-9.357999999999999,0.5329999999999999,1
113,114,We Don't Talk Anymore,Charlie Puth,9255,2017-08-27,0.563,0.179,100.01700000000001,0.134,0.621,0.0,4,0.728,1,217707,-8.052999999999999,0.35200000000000004,0
114,115,Perfect,Ed Sheeran,9175,2017-08-27,0.44799999999999995,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1
115,116,Questions,Chris Brown,9108,2017-08-27,0.598,0.1,105.803,0.0561,0.00543,0.0,4,0.614,10,129478,-6.335,0.565,0
116,117,Paris,The Chainsmokers,9082,2017-08-27,0.6579999999999999,0.0939,99.99,0.0304,0.0215,1.66e-06,4,0.653,2,221507,-6.428,0.21899999999999997,1
117,118,Thinking out Loud,Ed Sheeran,9032,2017-08-27,0.445,0.184,78.998,0.0295,0.474,0.0,4,0.7809999999999999,2,281560,-6.061,0.591,1
118,119,Aitakatta อยากจะได้พบเธอ,BNK48,9005,2017-08-27,0.795,0.21899999999999997,96.023,0.0291,0.0872,0.000165,4,0.623,11,228750,-4.744,0.8140000000000001,1
119,120,Stay (with Alessia Cara),Zedd,8833,2017-08-27,0.634,0.115,102.01299999999999,0.0654,0.23199999999999998,0.0,4,0.679,5,210091,-5.024,0.498,0
120,121,Say You Won't Let Go,James Arthur,8823,2017-08-27,0.557,0.0902,85.04299999999999,0.059000000000000004,0.695,0.0,4,0.358,10,211467,-7.398,0.494,1
121,122,One Last Time,Ariana Grande,8807,2017-08-27,0.618,0.10400000000000001,125.036,0.0322,0.115,3.3e-06,4,0.624,8,197253,-4.868,0.122,1
122,123,จีบ...(May I),Namm Ronnadet,8716,2017-08-27,0.57,0.138,169.984,0.0519,0.7170000000000001,1.17e-05,4,0.637,4,278250,-6.185,0.375,1
123,124,ทางของฝุ่น (Dust),Atom Chanakan,8634,2017-08-27,0.47600000000000003,0.305,97.62100000000001,0.0246,0.6709999999999999,0.0157,3,0.595,7,264627,-7.8629999999999995,0.35700000000000004,1
124,125,Monster,EXO,8626,2017-08-27,0.76,0.127,150.0,0.0596,0.0066,0.0,4,0.618,6,221341,-4.312,0.541,1
125,126,Stay With You,Cheat Codes,8599,2017-08-27,0.513,0.0894,139.97899999999998,0.0411,0.102,1.69e-06,4,0.7440000000000001,2,211671,-9.492,0.353,0
126,127,러시안 룰렛 Russian Roulette,Red Velvet,8502,2017-08-27,0.903,0.158,129.986,0.0357,0.055,0.000225,4,0.726,7,211244,-2.2769999999999997,0.958,0
127,128,หมายความว่าอะไร,MEAN,8424,2017-08-27,0.5379999999999999,0.184,159.828,0.0462,0.75,0.0,4,0.589,10,195143,-5.665,0.659,1
128,129,Treat You Better,Shawn Mendes,8366,2017-08-27,0.8029999999999999,0.114,166.018,0.24600000000000002,0.12300000000000001,0.0,4,0.624,10,187973,-4.105,0.821,0
129,130,Jocelyn Flores,XXXTENTACION,8217,2017-08-27,0.391,0.297,134.02100000000002,0.242,0.469,4.13e-06,4,0.872,0,119133,-9.144,0.43700000000000006,0
130,131,Swish Swish,Katy Perry,8210,2017-08-27,0.716,0.10099999999999999,119.93799999999999,0.0549,0.0196,1.83e-05,4,0.836,5,242510,-5.211,0.534,0
131,132,REALLY REALLY,WINNER,8180,2017-08-27,0.769,0.0854,103.006,0.0595,0.16699999999999998,0.0,4,0.765,2,203057,-3.16,0.581,1
132,133,All My Love (feat. Conor Maynard),Cash Cash,8162,2017-08-27,0.871,0.0739,134.95600000000002,0.0891,0.14800000000000002,0.0,4,0.59,11,191331,-3.353,0.304,0
133,134,Palette (Feat. G-DRAGON),IU,8156,2017-08-27,0.68,0.102,102.01299999999999,0.2,0.45799999999999996,0.0,4,0.804,0,217413,-3.81,0.62,1
134,135,Sorry,Justin Bieber,8152,2017-08-27,0.76,0.299,99.945,0.045,0.0797,0.0,4,0.654,0,200787,-3.6689999999999996,0.41,0
135,136,Location,Khalid,8151,2017-08-27,0.449,0.0898,80.126,0.425,0.33,0.000162,4,0.736,1,219080,-11.462,0.326,0
136,137,Me Rehúso,Danny Ocean,8118,2017-08-27,0.804,0.0494,104.823,0.0677,0.0231,0.0,4,0.7440000000000001,1,205715,-6.327000000000001,0.426,1
137,138,Bad Blood,Taylor Swift,8113,2017-08-27,0.802,0.14800000000000002,170.157,0.18100000000000002,0.0871,6.45e-06,4,0.652,7,211933,-6.114,0.295,1
138,139,ผู้สาวขาเลาะ,ลำไย ไหทองคำ,8109,2017-08-27,0.88,0.0566,93.00399999999999,0.0265,0.0642,0.000167,4,0.716,9,203417,-5.0169999999999995,0.777,1
139,140,หยุด,Groove Riders,8094,2017-08-27,0.653,0.0482,93.99600000000001,0.033,0.172,0.00831,4,0.7140000000000001,7,301827,-7.277,0.846,1
140,141,I Need U,BTS,8081,2017-08-27,0.88,0.24,158.043,0.0706,0.0215,0.0,4,0.486,5,210987,-3.097,0.71,0
141,142,Why,Sabrina Carpenter,7926,2017-08-27,0.561,0.0739,180.044,0.209,0.157,0.0,4,0.669,11,171096,-4.923,0.604,0
142,143,24K Magic,Bruno Mars,7921,2017-08-27,0.8029999999999999,0.153,106.97,0.0797,0.034,0.0,4,0.818,1,225983,-4.282,0.632,1
143,144,อย่าเพิ่งใจร้าย,The Mousses,7904,2017-08-27,0.762,0.0957,99.98899999999999,0.0967,0.0708,0.0,4,0.674,0,238690,-5.452000000000001,0.617,1
144,145,BANG BANG BANG - KR Ver.,BIGBANG,7855,2017-08-27,0.8440000000000001,0.315,134.964,0.0703,0.0193,0.0,4,0.696,1,221173,-2.95,0.441,1
145,146,NEVER,Sons of People,7844,2017-08-27,0.8440000000000001,0.5720000000000001,110.012,0.0578,0.617,0.0,3,0.693,0,196853,-2.2569999999999997,0.7170000000000001,0
146,147,เธอคือของขวัญ,Singto Numchok,7828,2017-08-27,0.21,0.086,107.0,0.11,0.773,0.0,4,0.9229999999999999,2,217187,-10.794,0.479,1
147,148,ครั้งหนึ่งไม่ถึงตาย,KLEAR,7802,2017-08-27,0.466,0.11900000000000001,136.042,0.0354,0.568,2.13e-05,4,0.637,0,202695,-7.885,0.21,1
148,149,Starboy,The Weeknd,7773,2017-08-27,0.594,0.134,186.054,0.282,0.165,3.49e-06,4,0.6809999999999999,7,230453,-7.028,0.535,1
149,150,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,7740,2017-08-27,0.8140000000000001,0.126,119.041,0.0999,0.132,9.64e-06,4,0.738,7,225850,-4.414,0.483,0
150,151,ลืมไปก่อน,Buddha Bless,7711,2017-08-27,0.644,0.11699999999999999,199.96,0.0776,0.467,0.0,4,0.5329999999999999,1,217973,-5.79,0.755,0
151,152,ออกตัว - เพลงประกอบซีรีส์ My Dear Loser รักไม่เอาถ่าน,Lipta,7708,2017-08-27,0.875,0.32,107.76299999999999,0.0407,0.0565,4.83e-06,4,0.544,2,228890,-4.111000000000001,0.5,1
152,153,I Feel It Coming,The Weeknd,7692,2017-08-27,0.8190000000000001,0.0679,92.99,0.11800000000000001,0.426,0.0,4,0.773,0,269187,-5.946000000000001,0.585,0
